"","�..Movie.Name","Release.Date","Opening.Day","Opening.Weekend","End.of.Week.1","Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.","�..imdbId","Column1","releaseYear","releaseDate","genre","writers","actors","directors","sequel","FirstWeekIMDBRating"
"512","Rahul","06-Apr-01","0.08","0.27","0.48","0.98","tt0277981","#N/A",2001,"23-Mar-01","Drama","Farhan (dialogue) | Farhan (screenplay) | Anuradha Tiwari (screenplay)","Neha | Rajeshwari Sachdev | Gulshan Grover | Nina Kulkarni","Prakash Jha","0",1
"513","Raja Natwarlal","29-Aug-14","6.1","17.4","25.88","26.83","tt3483712","#N/A",2014,"29-Aug-14","Drama | Thriller","Parveez Sheikh (story) | Sanjay Masoom (dialogue)","Mohammed Zeeshan Ayyub | Tarun Dudeja | Emraan Hashmi | Narendra Jetley","Kunal Deshmukh","0",2
"514","Rajdhani Express","04-Jan-13","N.A.","N.A.","0.33","0.35","tt2560016","#N/A",2013,"04-Jan-13","Action | Drama | Thriller","Ashok Kohli (dialogue) | Ashok Kohli (screenplay)","Ishrat Ali | Nishant Balgovind | Sayali Bhagat | Puja Bose","Ashok Kohli","0",1
"515","Rajjo","15-Nov-13","0.3","0N.A","1.51","1.73","tt2438764","#N/A",2013,"15-Nov-13","Drama | Romance","Vishwas Patil","Kangana Ranaut | Prakash Raj | Mahesh Manjrekar | Paras Arora","Vishwas Patil","0",1
"516","Ramaiya Vastavaiya","19-Jul-13","4.1","15.3","26.85","36.3","tt2357926","#N/A",2013,"19-Jul-13","Comedy | Family | Romance","Shiraz Ahmed (screenplay) | Veeru Potla (story)","Shruti K. Haasan | Girish Taurani | Randhir Kapoor | Sonu Sood","Prabhudheva","0",2
"517","Rang De Basanti","26-Jan-06","3.12","7.69","15.35","53.08","tt0405508","#N/A",2006,"26-Jan-06","Drama","Renzil D'Silva (screenplay) | Rakeysh Omprakash Mehra (screenplay) | Kamlesh Pandey (story)","Aamir Khan | Siddharth | Sharman Joshi | Kunal Kapoor","Rakeysh Omprakash Mehra","0",6
"518","Rangrezz","21-Mar-13","1","4","6","6.37","tt2706264","#N/A",2013,"21-Mar-13","Action |Drama |Adventure","Manisha Korde (dialogue) | Mushtaq Sheikh (screenplay)","Jacky Bhagnani | Priya Anand | Rajpal Yadav | Amitosh Nagpal","Priyadarshan","0",1
"519","Rann","29-01-2010","0N.A","4.73","7.55","7.85","tt1451797","#N/A",2010,"29-Jan-10","Drama | Mystery","Rohit G. Banawlikar (story) | Sarim Momin (lyrics) | Prashant Pandey (lyrics) | Sandip Singh (lyrics) | Vayu (lyrics)","Amitabh Bachchan | Ritesh Deshmukh | Gul Panag | Paresh Rawal","Ram Gopal Varma","0",1
"520","Rascals","06-10-2011","0N.A","23.5","27.68","32.6","tt1830786","#N/A",2011,"06-Oct-11","Action | Comedy | Crime","Sanjay Chhel (screenplay) | Yunus Sajawal (dialogue)","Ajay Devgn | Sanjay Dutt | Kangana Ranaut | Lisa Haydon","David Dhawan","0",2
"521","Ready","03-06-2011","13.15","40.65","68.02","119.78","tt1708532","#N/A",2011,"03-Jun-11","Comedy | Romance","Ikram Akhtar (screenplay) | Nisar Akhtar (additional dialogue) | Farhad Bhiwandiwala (dialogue) | Gopimohan (story) | Rajeev Kaul (screenplay) | Sajid (dialogue)","Salman Khan | Asin | Paresh Rawal | Mahesh Manjrekar","Anees Bazmee","0",8
"522","Rehnaa Hai Terre Dil Mein","18-Oct-01","0.41","1.32","2.25","5.52","tt0299108","#N/A",2001,"19-Oct-01","Musical","Gautham Menon (story) | Vipul D. Shah (dialogue) | Vipul D. Shah (story)","Madhavan | Saif Ali Khan | Dia Mirza | Vrajesh Hirjee","Gautham Menon","0",2
"523","Revolver Rani","25-Apr-14","1.5","6.5","8.45","10.34","tt3290688","#N/A",2014,"25-Apr-14","Action | Comedy | Crime","Sai Kabir","Kangana Ranaut | Vir Das | Zakir Hussain | Jami Jafry","Sai Kabir","0",2
"524","Rishtey","12-Jun-02","0.68","2.02","3.44","6","tt0341549","#N/A",2002,"06-Dec-02","Family","Rajeev Kaul (screenplay) | Rajeev Kaul (story) | Tanveer Khan (dialogue) | Praful Parekh (screenplay) | Praful Parekh (story)","Anil Kapoor | Karisma Kapoor | Shilpa Shetty | Kaivalya Chheda","Indra Kumar","0",2
"525","Risk","19-Jan-07","0.55","1.78","2.45","2.83","tt0845529","#N/A",2007,"01-Jan-07","Action | Drama | Thriller","N/A","Vinod Khanna | Randeep Hooda | Tanushree Dutta | Madhuri Bhagwat","Vishram Sawant","0",1
"526","Riyasat","18-Jul-14","0N.A","0N.A","0.01","0.01","tt2283894","#N/A",2014,"18-Jul-14","Crime","N/A","Rajesh Khanna | Aryeman Ramsay | Raza Murad | Aryan Vaid","Ashok Tyagi","0",1
"527","Road","27-Sep-02","0.88","2.59","4.3","7.57","tt0315632","#N/A",2002,"27-Sep-02","Thriller","Rajnish Thakur","Manoj Bajpayee | Vivek Oberoi | Antara Mali | Sayaji Shinde","Rajat Mukherjee","0",3
"528","Roadside Romeo","24-Oct-08","0.66","2.25","3.39","4.54","tt1050739","#N/A",2008,"24-Oct-08","Animation | Comedy | Family","Jugal Hansraj","Saif Ali Khan | Kareena Kapoor | Javed Jaffrey | Vrajesh Hirjee","Jugal Hansraj","0",1
"529","Rock On!!","29-Aug-08","1.66","6.02","9.59","25.3","tt1230165","#N/A",2008,"29-Aug-08","Drama | Music","Farhan Akhtar (dialogue) | Pubali Chaudhuri (screenplay) | Abhishek Kapoor (story)","Arjun Rampal | Farhan Akhtar | Luke Kenny | Purab Kohli","Abhishek Kapoor","0",4
"530","Rokkk","05-03-2010","N.A.","N.A.","N.A.","0.93","tt1612573","#N/A",2010,"05-Mar-10","Drama | Horror | Mystery","Rajesh Ranshinge (story) | Haroon Rashid (screenplay)","Tanushree Dutta | Udita Goswami | Shaad Randhawa | Sachin Khedekar","Rajesh Ranshinge","0",1
"531","Rowdy Rathore","01-Jun-12","15.1","48.3","79.52","133.25","tt2077833","#N/A",2012,"01-Jun-12","Action | Comedy","Shiraz Ahmed","Akshay Kumar | Sonakshi Sinha | Nasser | Paresh Ganatra","Prabhudheva","0",8
"532","Rush","26-Oct-12","0N.A","2.1","3.25","3.41","tt2256514","#N/A",2012,"26-Oct-12","Thriller","Shamin Desai (dialogue) | Sanjay Masoom (dialogue writer)","Emraan Hashmi | Aditya Pancholi | Sagarika Ghatge | Neha Dhupia","Shamin Desai","0",1
"533","Saathiya","20-Dec-02","0.53","1.79","3.78","15.26","tt0330843","#N/A",2002,"20-Dec-02","Drama | Romance","Mani Ratnam (story) | Gulzar (dialogue)","Vivek Oberoi | Rani Mukerji | Tanuja | Satish Shah","Shaad Ali","0",5
"534","Saawariya","11-Sep-07","3","11.23","16.86","20.92","tt0758053","#N/A",2007,"09-Nov-07","Drama | Musical | Romance","Fyodor Dostoevsky (story) | Prakash Kapadia | Vibhu Puri (additional screenplay & dialogue) | Shailey Sharma (additional screenplay & dialogue)","Ranbir Kapoor | Sonam Kapoor | Salman Khan | Rani Mukerji","Sanjay Leela Bhansali","0",1
"535","Saaya","07-04-2003","0.47","1.39","2.17","3.24","tt0371922","#N/A",2003,"04-Jul-03","Action | Drama | Horror","Amol Shetge (screenplay)","John Abraham | Tara Sharma | Mahima Chaudhry | Zohra Segal","Anurag Basu","0",2
"536","Saheb Biwi Aur Gangster","30-09-2011","0N.A","3.75","5.77","10.4","tt2073070","#N/A",2011,"23-Sep-11","Action | Crime | Drama","Sanjay Chauhan | Tigmanshu Dhulia","Randeep Hooda | Mahie Gill | Jimmy Shergill | Shreya Narayan","Tigmanshu Dhulia","0",3
"537","Saheb Biwi Aur Gangster Returns","08-Mar-13","3.5","12.75","18.25","21.95","tt2362778","#N/A",2013,"08-Mar-13","Action | Crime | Drama","Tigmanshu Dhulia (screenplay) | Tigmanshu Dhulia (story) | Kamal Pandey (story)","Raj Babbar | Mahie Gill | Mugdha Godse | Rajiv Gupta","Tigmanshu Dhulia","1",3
"538","Sahi Dhandhe Galat Bande","19-08-2011","N.A.","N.A.","0.61","0.65","tt1630282","#N/A",2011,"19-Aug-11","Action | Comedy | Drama","Parvin Dabas","Anupam Kher | Sharat Saxena | Parvin Dabas | Vansh Bhardwaj","Parvin Dabas","0",1
"539","Salaam-E-Ishq","26-Jan-07","4.19","11.15","16.26","22.68","tt0485272","#N/A",2007,"25-Jan-07","Comedy | Drama | Musical","Nikhil Advani (screenplay) | Nikhil Advani (story) | Suresh Nair (screenplay) | Saurabh Shukla (script)","Salman Khan | Priyanka Chopra | Anil Kapoor | Juhi Chawla","Nikhil Advani","0",1
"540","Salaam Namaste","09-09-2005","2.15","6.84","11.49","26.2","tt0456165","#N/A",2005,"09-Sep-05","Comedy | Drama | Romance","Siddharth Anand (screenplay) | Abbas Tyrewala (dialogue)","Saif Ali Khan | Preity Zinta | Arshad Warsi | Tania Zaetta","Siddharth Anand","0",6
"541","Samrat & Co.","25-Apr-14","0.23","0.82","1.26","1.29","tt3636776","#N/A",2014,"25-Apr-14","Mystery","N/A","Ramgopal Bajaj | Ajay Bhandari | Barkha Bisht | Priyanshu Chatterjee","Kaushik Ghatak","0",1
"542","Sarkar","07-01-2005","2.43","6.86","11.57","24.84","tt0432047","#N/A",2005,"01-Jul-05","Action | Crime | Drama","Manish Gupta","Amitabh Bachchan | Abhishek Bachchan | Kay Kay Menon | Supriya Pathak","Ram Gopal Varma","0",5
"543","Sarkar Raj","06-Jun-08","4.97","16.42","23.83","34.31","tt0490210","#N/A",2008,"06-Jun-08","Action | Crime | Drama","Prashant Pandey","Amitabh Bachchan | Abhishek Bachchan | Aishwarya Rai Bachchan | Ravi Kale","Ram Gopal Varma","1",3
"544","Satrangee Parachute","25-02-2011","N.A.","N.A.","N.A.","0.06","tt1886663","#N/A",2011,"25-Feb-11","Comedy | Drama | Family","Pulakesh Bhowmik (story) | Anupam Mishra (dialogues)","Sanjay Mishra | Zakir Hussain | Lilliput | Rupali Ganguly","Vineet Khetrapal","0",1
"545","Satya 2","08-Nov-13","0.45","1.2","1.88","1.98","tt3059106","#N/A",2013,"08-Nov-13","Crime","Radhika Anand | Kary Arora (lyrics) | Meeraqh (Telugu Dialogue Writer)","Puneet Singh Ratn | Sharvanand | Anaika Soti | Mahesh Thakur","Ram Gopal Varma","1",1
"546","Satyagraha","30-Aug-13","11.21","39.12","55.43","63.74","tt2275802","#N/A",2013,"30-Aug-13","Drama","Prakash Jha | Anjum Rajabali","Kareena Kapoor | Amitabh Bachchan | Ajay Devgn | Arjun Rampal","Prakash Jha","0",2
"547","Second Marriage Dot Com","10-Aug-12","N.A.","N.A.","0.03","0.05","tt2306721","#N/A",2012,"20-Aug-12","Drama","Gaurav Panjwani (story) | Dinkar Sharma (screenplay)","Subhash Ahuja | Syna Anand | Raman Atre | Rajat Bhalla","Gaurav Panjwani","0",1
"548","Shaadi Ke Side Effects","28-Feb-14","5.7","34.23","30.83","37.36","tt3302962","#N/A",2014,"28-Feb-14","Comedy | Romance","Saket Chaudhary (screenplay) | Saket Chaudhary (story) | Zeenat Lakhani (screenplay) | Zeenat Lakhani (story) | Arshad Sayed (dialogue) | Arshad Sayed (screenplay)","Farhan Akhtar | Vidya Balan | Vir Das | Ram Kapoor","Saket Chaudhary","1",2
"549","Shaadi Se Pehle","04-Jun-06","1.52","4.53","6.92","10.2","tt0489560","#N/A",2006,"07-Apr-06","Comedy | Musical | Romance","Sanjay Chhel | Satish Kaushik (screenplay)","Akshaye Khanna | Ayesha Takia | Mallika Sherawat | Sunil Shetty","Satish Kaushik","0",2
"550","Shabd","02-04-2005","0.94","2.61","3.86","5.47","tt0409527","#N/A",2005,"04-Feb-05","Drama","Sutapa Sikdar (dialogue) | Leena Yadav (screenplay) | Leena Yadav (story)","Sanjay Dutt | Aishwarya Rai Bachchan | Zayed Khan | Aakash Pandey","Leena Yadav","0",1
"551","Shabri","26-08-2011","N.A.","N.A.","0.27","0.37","tt2032530","#N/A",2011,"26-Aug-11","Action | Crime | Drama","Lalit Marathe (story)","Isha Koppikar | Raj Arjun | Manish Wadhwa | Pradeep Singh Rawat","Lalit Marathe","0",1
"552","Shagird","13-05-2011","N.A.","N.A.","1.82","2.07","tt1828289","#N/A",2011,"13-May-11","Action | Crime | Drama","Tigmanshu Dhulia (story) | Tigmanshu Dhulia | Kamal Pandey (story)","Nana Patekar | Mohit Ahlawat | Rimi Sen | Anurag Kashyap","Tigmanshu Dhulia","0",1
"553","Shaitan","10-06-2011","0.81","3.41","5.25","8.19","tt1836912","#N/A",2011,"10-Jun-11","Action | Crime | Drama","Abhijeet Deshpande (dialogue) | K.S. Krishnan (lyrics) | Bejoy Nambiar | Megha Ramaswamy | Colin Terrence (lyrics)","Kalki Koechlin | Shiv Pandit | Gulshan Devaiah | Rajeev Khandelwal","Bejoy Nambiar","0",2
"554","Shakal Pe Mat Ja","18-11-2011","N.A.","N.A.","0.35","0.39","tt2109200","#N/A",2011,"18-Nov-11","Comedy | Crime | Drama","Shubh","Shubh | Pratik Katare | Harsh Parekh | Chitrak Bandyopadhyay","Shubh","0",1
"555","Shanghai","08-Jun-12","3.35","12.1","17.5","19.73","tt2072227","#N/A",2012,"08-Jun-12","Crime | Thriller","Vasilis Vasilikos (adapted from the novel 'Z' by) | Urmi Juvekar (screenplay) | Dibakar Banerjee (screenplay)","Emraan Hashmi | Abhay Deol | Prasenjit Chatterjee | Kalki Koechlin","Dibakar Banerjee","0",2
"556","Shikhar","30-12-2005","1.21","3.62","5.27","6.62","tt0475627","#N/A",2005,"30-Dec-05","Drama | Musical | Romance","Dr. Bodhisattva (dialogue) | Manohar Iyer (lyrics) | John Mathew Matthan (screenplay) | Chandrashekhar Rajit (lyrics) | Sameer (lyrics) | Anita Sarkar (lyrics) | C.K. Raajaa Chandra Sekar (lyrics) | Viju Shah (lyrics) | Mani Shankar (lyrics) | Sudhakar Sharma (lyrics) | Abbas Tyrewala (screenplay)","Ajay Devgn | Shahid Kapoor | Bipasha Basu | Amrita Rao","John Mathew Matthan","0",2
"557","Shirin Farhad Ki Toh Nikal Padi","24-Aug-12","1.6","6.4","9.65","11.25","tt2187972","#N/A",2012,"24-Aug-12","Romance","Sanjay Leela Bhansali | Vibhu Puri (additional screenplay)","Kavin Dave | Kurush Deboo | Boman Irani | Daisy Irani","Bela Segal","0",2
"558","Shiva","15-Sep-06","0.56","1.52","2.18","2.44","tt0831816","#N/A",2006,"15-Sep-06","Action | Crime | Drama","Farhad Bhiwandiwala | Dev Kohli (lyrics) | Nitin Raikwar (lyrics) | Sajid","Mohit Ahlawat | Priyanka Kothari | Vinod Jaywant | Nagesh Bhonsle","Ram Gopal Varma","0",1
"559","Shortcut Romeo","21-Jun-13","0.25","0N.A","2.25","2.58","tt2066062","#N/A",2013,"21-Jun-13","Action | Crime | Romance","Susi Ganesan (story) | Ilashree Goswami (dialogue)","Neil Nitin Mukesh | Ameesha Patel | Puja Gupta | Jatin Grewal","Susi Ganesan","0",1
"560","Shorts","12-Jul-13","N.A.","N.A.","0.04","0.04","tt3257168","#N/A",2013,"12-Jul-13","Drama","N/A","Satyakam Anand | Aparajit Bhattacharjee | Richa Chadda | Aditi Khanna","Neeraj Ghaywan | Siddharth Gupt | Rohit Pandey | Anirban Roy | Shlok Sharma","0",1
"561","Shree","26-Apr-13","N.A.","N.A.","0.32","0.32","tt2826126","#N/A",2013,"26-Apr-13","Sci-Fi","Rajesh Bachchani","Hussain Kuwajerwala | Paresh Ganatra | Rio Kapadia | Shivani Tanksale","Rajesh Bachchani","0",1
"562","Shuddh Desi Romance","06-Sep-13","6.45","23.27","36.58","46.6","tt2988272","#N/A",2013,"06-Sep-13","Comedy | Drama | Romance","Jaideep Sahni","Sushant Singh Rajput | Parineeti Chopra | Vaani Kapoor | Rishi Kapoor","Maneesh Sharma","0",6
"563","Singh Is Kinng","08-Aug-08","7.24","25.53","39.38","67.91","tt1146325","#N/A",2008,"08-Aug-08","Action | Comedy | Crime","Anees Bazmee (writer & dialogue) | Vipul Binjola (dialogue) | Suresh Nair | Rishi Virmani (dialogue)","Akshay Kumar | Katrina Kaif | Om Puri | Kiron Kher","Anees Bazmee","0",7
"564","Singham","22-07-2011","8.94","30.98","51.25","100.3","tt1948150","#N/A",2011,"22-Jul-11","Action | Crime | Drama","Farhad | Farhad | Hari (original story) | Yunus Sajawal (screenplay) | Sajid (dialogue)","Ajay Devgn | Kajal Agarwal | Prakash Raj | Sonali Kulkarni","Rohit Shetty","0",7
"565","Singham Returns","15-Aug-14","32.09","77.69","112.59","140.62","tt2309764","#N/A",2014,"15-Aug-14","Action","Rohit Shetty (story) | Yunus Sajawal (screenplay) | Farhad (dialogue) | Sajid (dialogue)","Kareena Kapoor | Ajay Devgn | Anupam Kher | Yo Yo Honey Singh","Rohit Shetty","1",7
"566","Sixteen","12-Jul-13","N.A.","N.A.","1.24","1.44","tt2976172","#N/A",2013,"12-Jul-13","Drama | Romance | Thriller","Raj Purohit | Pawan Sony","Wamiqa Gabbi | Izabelle Liete | Mehak Manwani | Highphill Mathew","Raj Purohit","0",1
"567","Siyaah..","27-Jul-12","N.A.","N.A.","0.05","0.05","tt2234328","#N/A",2012,"11-Jul-12","Horror","Aziz Naser","Habeeb Aidroos | Zarine Ali | Madhulagna Das | Faheem Ul Haq","Aziz Naser","0",1
"568","Soch Lo","27-08-2010","N.A.","N.A.","N.A.","0.05","tt1630613","#N/A",2010,"27-Sep-10","Action | Crime | Drama","Prashant Ingole (lyrics) | Charu Moohan (lyrics) | Sartaj Singh Pannu","Barkha Madan | Iris Maity | Nishan Nanaiah | Sartaj Singh Pannu","Sartaj Singh Pannu","0",1
"569","Sona Spa","22-Mar-13","N.A.","N.A.","0.23","0.23","tt2609468","#N/A",2013,"22-Mar-13","Drama | Mystery | Thriller","Makrand Deshpande","Nivedita Bhattacharya | Devyani | Shailesh Hejmady | Neha Iyyer","Makrand Deshpande","0",1
"570","Sonali Cable","17-Oct-14","0.14","0.45","0.81","0.91","tt2871010","#N/A",2014,"17-Oct-14","Drama","Charudutt Acharya","Rhea Chakraborty | Ali Fazal | Smita Jaykar | Raghav Juyal","Charudutt Acharya","0",1
"571","Sons of Ram","02-Nov-12","N.A.","N.A.","0.19","0.19","tt2317103","#N/A",2012,"02-Nov-12","Animation | Drama | Musical","Kushal Ruia (story) | Vivek Kumar (contributing writer) | Anant Pai (comic book) | Divya Chandel (additional dialogue) | Arnab Kanti Mishra (additional dialogue)","Sunidhi Chauhan | Ettienne Couthino | Devansh Doshi | Saptharishi Ghosh","Kushal Ruia","0",1
"572","Sooper Se Ooper","25-Oct-13","0.03","0N.A","0.057","0.057","tt3005850","#N/A",2013,"25-Oct-13","Comedy","Shekhar Ghosh","Tinnu Anand | Mahesh Balraj | Mithilesh Chaturvedi | Vir Das","Shekhar Ghosh","0",1
"573","Soundtrack","07-10-2011","N.A.","N.A.","0.43","0.53","tt1941657","#N/A",2011,"07-Oct-11","Drama | Musical","Chintan Gandhi | Neerav Ghosh | Rajiv Gopalkrishnan | Aarthi Rayapura (script development)","Rajeev Khandelwal | Soha Ali Khan | Mrinalini Sharma | Mohan Kapoor","Neerav Ghosh","0",1
"574","Spark","10-Oct-14","0.03","0.05","0.09","0.09","tt3893476","#N/A",2014,"10-Oct-14","Action","V.K. Singh (story)","Rati Agnihotri | Mansha Bahl | Rajneesh Duggal | Shubhashree Ganguli","V.K. Singh","0",1
"575","Special 26","08-Feb-13","7","27","44","66.8","tt2377938","#N/A",2013,"08-Feb-13","Crime | Drama | Thriller","Neeraj Pandey","Akshay Kumar | Kajal Agarwal | Manoj Bajpayee | Jimmy Shergill","Neeraj Pandey","0",5
"576","Stand By","26-08-2011","N.A.","N.A.","0.25","0.35","tt2028553","#N/A",2011,"26-Aug-11","Drama | Sport | Thriller","Varun Gautam | Sanjay Soorkar | Pravin Vithal Tarde","Siddharth Kher | Sachin Khedekar | Dalip Tahil | Nagesh Bhonsle","Sanjay Soorkar","0",1
"577","Station","28-Mar-14","N.A.","N.A.","0.19","0.19","tt2191164","#N/A",2014,"28-Mar-14","Crime | Drama | Thriller","Saad Khan (story) | Saad Khan | Saad Khan","Kanika Batra | Gulshan Grover | Rohiet Nair | Sameer Kevin Roy","Saad Khan","0",1
"578","Striker","05-02-2010","N.A.","0.8","0","0.84","tt1573482","#N/A",2010,"05-Feb-10","Crime | Drama","Sunita Rajwar (story) | Iqbal Merchant (story) | Chandan Arora (screenplay) | Sunita Rajwar (screenplay) | Sagar Kapoor (dialogues) | Vijay Maurya (dialogues) | Pankaj Saraswat (dialogues) | Nitin Raikwar (lyrics) | Jeetendra Joshi (lyrics) | Prashant Ingole (lyrics)","Siddharth | Ankur Vikal | Anupam Kher | Vidya Malvade","Chandan Arora","0",1
"579","Style","28-Dec-01","0.29","0.97","1.81","5.36","tt0306855","#N/A",2001,"28-Dec-01","Musical | Comedy","N. Chandra","Sharman Joshi | Sahil Khan | Riya Sen | Shillpi Sharma","N. Chandra","0",5
"580","Sulemani Keeda","28-Nov-14","0N.A","0N.A","0.11","0.16","tt2679480","#N/A",2014,"28-Nov-14","Comedy | Romance","Amit Masurkar","Naveen Kasturia | Mayank Tewari | Aditi Vasudev | Karan Mirchandani","Amit Masurkar","0",1
"581","Sunday","25-Jan-08","2.31","7.78","12.03","20.3","tt1039989","#N/A",2008,"25-Jan-08","Action | Comedy | Romance","Robin Bhatt (screenplay) | Robin Bhatt (story) | Tushar Hiranandani (screenplay) | Sajid (dialogue) | K. Subhash (screenplay)","Ajay Devgn | Ayesha Takia | Arshad Warsi | Irrfan Khan","Rohit Shetty","0",2
"582","Supari","20-06-2003","0.45","1.25","1.85","2.66","tt0362204","#N/A",2003,"20-Jun-03","Crime | Drama","Padam Kumar (screenplay) | Atul Sabharwal (additional dialogue) | Mushtaq Sheikh (screenplay) | Sutapa Sikdar (dialogue) | Anuradha Tiwari (screenplay)","Nandita Das | Uday Chopra | Rahul Dev | Purab Kohli","Padam Kumar","0",1
"583","Super Nani","31-Oct-14","0.5","1.42","2.52","2.61","tt2630076","#N/A",2014,"31-Oct-14","Drama","N/A","Rekha | Sharman Joshi | Randhir Kapoor | Anupam Kher","Indra Kumar","0",1
"584","Ta Ra Rum Pum","27-Apr-07","3.66","11.42","18.05","38.45","tt0833553","#N/A",2007,"27-Apr-07","Comedy | Family | Romance","Habib Faisal (screenplay)","Saif Ali Khan | Rani Mukerji | Mayank Amin | Vic Aviles","Siddharth Anand","0",5
"585","Taare Zameen Par","21-Dec-07","2.62","9.65","16.57","61.83","tt0986264","#N/A",2007,"21-Dec-07","Drama | Family","Amole Gupte (dialogue & screenplay) | Amole Gupte (story)","Darsheel Safary | Aamir Khan | Tanay Chheda | Sachet Engineer","Aamir Khan | Amole Gupte","0",7
"586","Table No. 21","04-Jan-13","1.55","5.84","9.5","10.9","tt2229842","#N/A",2013,"04-Jan-13","Adventure | Thriller","Sheershak Anand (story) | Shantanu Ray Chhibber (story) | T. Rafael Cimino (novel) | Abhijeet Deshpande","Paresh Rawal | Rajeev Khandelwal | Tina Desai | Dhruv Ganesh","Aditya Datt","0",3
"587","Talaash","30-Nov-12","13.5","47.1","67.9","93.4","tt1787988","#N/A",2012,"30-Nov-12","Crime | Drama | Mystery","Farhan Akhtar (dialogue) | Anurag Kashyap (additional dialogue) | Zoya Akhtar (story) | Reema Kagti (story) | Zoya Akhtar (screenplay) | Reema Kagti (screenplay)","Aamir Khan | Kareena Kapoor | Rani Mukerji | Nawazuddin Siddiqui","Reema Kagti","0",5
"588","Tamanchey","10-Oct-14","0.22","0.66","1.3","1.46","tt2317135","#N/A",2014,"10-Oct-14","Crime | Romance","N/A","Nikhil Dwivedi | Richa Chadda | Mahesh Balraj | Kislaya Dwivedi","Suryaveer Singh Bhullar","0",1
"589","Tango Charlie","25-03-2005","1.15","3.11","4.74","7.16","tt0444913","#N/A",2005,"25-Mar-05","Action | Drama | War","Mani Shankar (dialogue) | Mani Shankar (screenplay)","Ajay Devgn | Bobby Deol | Sanjay Dutt | Sunil Shetty","Mani Shankar","0",1
"590","Tanu Weds Manu","25-02-2011","3.26","11.27","18.56","36.84","tt1694542","#N/A",2011,"25-Feb-11","Comedy | Drama | Romance","Himanshu Sharma (screenplay)","Madhavan | Kangana Ranaut | Jimmy Shergill | Deepak Dobriyal","Aanand Rai","0",6
"591","Tashan","25-Apr-08","3.92","1.22","18.68","29.35","tt0995752","#N/A",2008,"25-Apr-08","Action | Comedy | Crime","Vijay Krishna Acharya (story) | Vijay Krishna Acharya (screenplay) | Vijay Krishna Acharya (dialogue) | Piyush Mishra (lyrics) | Vishal Dadlani (lyrics) | Kausar Munir (lyrics)","Akshay Kumar | Saif Ali Khan | Kareena Kapoor | Anil Kapoor","Vijay Krishna Acharya","0",3
"592","Tathastu","12-May-06","0.43","1.15","1.65","1.94","tt0444915","#N/A",2006,"N/A","Drama","N/A","Sanjay Dutt | Ameesha Patel | Jayapradha | Gulshan Grover","Anubhav Sinha","0",1
"593","Teen Patti","26-02-2010","0N.A","3.84","6.11","6.77","tt1183917","#N/A",2010,"26-Feb-10","Drama | Thriller","Shivkumar Subramaniam (story) | Leena Yadav (story) | Ben Rekhi (english dialogue)","Amitabh Bachchan | Madhavan | Shraddha Kapoor | Siddharth Kher","Leena Yadav","0",1
"594","Teen Thay Bhai","15-04-2011","0.6","2.3","N.A.","2.93","tt1867070","#N/A",2011,"15-Apr-11","Comedy | Drama","Gautam Mehra | Mehul Suri","Om Puri | Deepak Dobriyal | Ragini Khanna | Naresh Gosain","Mrigdeep Singh Lamba","0",1
"595","Tees Maar Khan","24-12-2010","13","38.25","49.75","60.91","tt1572311","#N/A",2010,"24-Dec-10","Comedy | Crime | Drama","Vishal Dadlani (lyrics) | Anvita Dutt Guptan (lyrics) | Ashmith Kunder (screenplay) | Shirish Kunder (dialogue) | Shirish Kunder (screenplay) | Shirish Kunder (story)","Katrina Kaif | Salman Khan | Akshay Kumar | Farah Khan","Farah Khan","0",5
"596","Tell Me O Kkhuda","27-10-2011","N.A.","N.A.","0.93","1.28","tt1961530","#N/A",2011,"27-Oct-11","Action | Crime | Drama","Hema Malini | Mayur Puri (story) | Ulka Puri (story) | Anand Sharma (story)","Dharmendra | Vinod Khanna | Rishi Kapoor | Farooq Shaikh","Hema Malini","0",1
"597","Tera Mera Saath Rahen","16-Nov-01","0.43","1.21","1.96","3.04","tt0301250","#N/A",2001,"07-Nov-01","Drama","Deepak Kulkarni (dialogue) | Mahesh Manjrekar (screenplay) | Sameer (lyrics)","Ajay Devgn | Sonali Bendre | Namrata Shirodkar | Prem Chopra","Mahesh Manjrekar","0",1
"598","Tere Bin Laden","16-07-2010","0.9","3.74","5.61","7.94","tt1629391","#N/A",2010,"16-Jul-10","Comedy | Drama","Mohammad Ahmad (dialogue) | Abhishek Sharma (story)","Ali Zafar | Pradhuman Singh | Piyush Mishra | Nikhil Ratnaparkhi","Abhishek Sharma","0",3
"599","Tere Mere Phere","30-09-2011","0N.A","0N.A","0.54","0.65","tt1696191","#N/A",2011,"30-Sep-11","Comedy | Drama | Romance","Jagrat Desai (story) | Deepa Sahi (screenplay) | Deepa Sahi (story)","Vinay Pathak | Riya Sen | Jagrat Desai | Sasha Goradia","Deepa Sahi","0",1
"600","Tere Naal Love Ho Gaya","24-Feb-12","1.9","7.8","13","20.08","tt2130242","#N/A",2012,"24-Feb-12","Comedy | Romance","Abhijeet Sandhu","Ritesh Deshmukh | Genelia D'Souza | Om Puri | Tinnu Anand","Mandeep Kumar","0",3
